item,filename,article_title,in_folder,notes
211,211 - ENGAGING WITH OMNICHANNEL BRANDS THE ROLE OF CONSUMER EMPOWERMENT.pdf,OMNICHANNEL AND CONSUMER AND RETAILER PERCEIVED RISKS AND BENEFITS: A REVIEW,YES,On Google Drive Folder
212,212 - OMNICHANNEL QUALITY THE NEW IMPERATIVE OF PURCHASE INTENTION AMONG FASHION RETAIL MARKET.pdf,ENGAGING WITH OMNICHANNEL BRANDS: THE ROLE OF CONSUMER EMPOWERMENT,YES,On Google Drive Folder
213,,OMNICHANNEL QUALITY: THE NEW IMPERATIVE OF PURCHASE INTENTION AMONG FASHION RETAIL MARKET,NO,On Google Drive Folder
214,214 - OMNICHANNEL RETAIL OPERATIONS WITH CONSUMER RETURNS AND ORDER CANCELLATION.pdf,OMNICHANNEL RETAIL OPERATIONS WITH CONSUMER RETURNS AND ORDER CANCELLATION,YES,On Google Drive Folder
215,215 - EFFECTS OF INCREASED OMNICHANNEL INTEGRATION ON CUSTOMER SATISFACTION AND LOYALTY INTENTIONS.pdf,DESIGNING MULTI-CHANNEL TECHNOLOGIES ? THE MEDIATING ROLE OF RISK PERCEPTIONS,YES,On Google Drive Folder
216,216 - OMNICHANNEL RETAILING THE ROLE OF SITUATIONAL INVOLVEMENT IN FACILITATING CONSUMER EXPERIENCES.pdf,EFFECTS OF INCREASED OMNICHANNEL INTEGRATION ON CUSTOMER SATISFACTION AND LOYALTY INTENTIONS,YES,On Google Drive Folder
217,,OMNICHANNEL RETAILING: THE ROLE OF SITUATIONAL INVOLVEMENT IN FACILITATING CONSUMER EXPERIENCES,NO,On Google Drive Folder
218,,OMNICHANNEL RETAIL MOVE IN A DUAL-CHANNEL SUPPLY CHAIN,NO,Cancelled by ILL Staff
219,219 - QUALITY OF CHANNEL INTEGRATION AND CUSTOMER LOYALTY IN OMNICHANNEL RETAILING THE MEDIATING ROLE OF CUSTOMER ENGAGEMENT.pdf,QUALITY OF CHANNEL INTEGRATION AND CUSTOMER LOYALTY IN OMNICHANNEL RETAILING: THE MEDIATING ROLE OF CUSTOMER ENGAGEMENT AND RELATIONSHIP PROGRAM RECEPTIVENESS,YES,On Google Drive Folder
220,220 - CHALLENGING THE INTEGRATION IMPERATIVE A CUSTOMER PERSPECTIVE ON OMNICHANNEL JOURNEYS.pdf,OPTIMAL ORDERING DECISIONS FOR AN OMNICHANNEL RETAILER WITH SHIP-TO-STORE AND SHIP-FROM-STORE,YES,On Google Drive Folder
221,,"CHALLENGING THE ""INTEGRATION IMPERATIVE"": A CUSTOMER PERSPECTIVE ON OMNICHANNEL JOURNEYS",NO,On Google Drive Folder
222,222 - A TYPOLOGY OF OMNICHANNEL RETAILER ACTIVITIES DURING THE COVID-19 PANDEMIC.pdf,THE IMPACT OF RISK PERCEPTIONS ON THE ATTITUDE TOWARD MULTI-CHANNEL TECHNOLOGIES,YES,On Google Drive Folder
223,,A TYPOLOGY OF OMNICHANNEL RETAILER ACTIVITIES DURING THE COVID-19 PANDEMIC,NO,On Google Drive Folder
224,224 - CONSUMER-BASED SUPPLY CHAIN MANAGEMENT PERFORMANCE RESEARCH A STRUCTURED LITERATURE REVIEW.pdf,CONSUMER-BASED SUPPLY CHAIN MANAGEMENT PERFORMANCE RESEARCH: A STRUCTURED LITERATURE REVIEW,YES,On Google Drive Folder
225,"225 - LARGE-SCALE RETAILERS, DIGITAL MEDIA AND IN-STORE COMMUNICATIONS.pdf","LARGE-SCALE RETAILERS, DIGITAL MEDIA AND IN-STORE COMMUNICATIONS",YES,On Google Drive Folder
226,226 - PLANNED OR UNPLANNED PURCHASES THE EFFECTS OF PERCEIVED VALUES ON OMNICHANNEL CONTINUANCE INTENTION.pdf,DESIGNING A SEAMLESS SHOPPING JOURNEY THROUGH OMNICHANNEL RETAILER INTEGRATION,YES,On Google Drive Folder
227,,PLANNED OR UNPLANNED PURCHASES? THE EFFECTS OF PERCEIVED VALUES ON OMNICHANNEL CONTINUANCE INTENTION,NO,On Google Drive Folder
228,228 - OMNICHANNEL RETAILING EXPLORING FUTURE RESEARCH AVENUES IN RETAIL MARKETING AND DISTRIBUTION MANAGEMENT.pdf,OMNICHANNEL RETAILING: EXPLORING FUTURE RESEARCH AVENUES IN RETAIL MARKETING AND DISTRIBUTION MANAGEMENT,YES,On Google Drive Folder
229,229 - Authentic omnichannel  Providing consumers with a seamless brand experience.pdf,COUPON PROMOTION AND INVENTORY STRATEGIES OF A SUPPLIER CONSIDERING AN E-COMMERCE PLATFORM'S OMNICHANNEL COUPONS,YES,On Google Drive Folder
230,,AUTHENTIC OMNICHANNEL: PROVIDING CONSUMERS WITH A SEAMLESS BRAND EXPERIENCE THROUGH AUTHENTICITY,NO,On Google Drive Folder
231,"231 - PERCEIVED OMNICHANNEL CUSTOMER EXPERIENCE (OCX) CONCEPT, MEASUREMENT, AND IMPACT.pdf",SEAMLESS EXPERIENCE IN THE CONTEXT OF OMNICHANNEL SHOPPING: SCALE DEVELOPMENT AND EMPIRICAL VALIDATION,YES,On Google Drive Folder
232,232 - OMNICHANNEL RETAILER BRAND EXPERIENCE CONCEPTUALISATION AND PROPOSAL OF A COMPREHENSIVE SCALE.pdf,"PERCEIVED OMNICHANNEL CUSTOMER EXPERIENCE (OCX): CONCEPT, MEASUREMENT, AND IMPACT",YES,On Google Drive Folder
233,233 - DETERMINANTS OF CONSUMERS_ WILLINGNESS TO PARTICIPATE IN FAST FASHION BRANDS_ USED CLOTHES RECYCLING PLANS IN AN OMNICHANNEL RETAIL.pdf,OMNICHANNEL RETAILER BRAND EXPERIENCE: CONCEPTUALISATION AND PROPOSAL OF A COMPREHENSIVE SCALE,YES,On Google Drive Folder
234,,DETERMINANTS OF CONSUMERS' WILLINGNESS TO PARTICIPATE IN FAST FASHION BRANDS' USED CLOTHES RECYCLING PLANS IN AN OMNICHANNEL RETAIL ENVIRONMENT,NO,On Google Drive Folder
235,235 - MARKETING AND OPERATIONAL STRATEGIES DURING THE COVID-19 PANDEMIC A CASE STUDY OF A HONG KONG FOOTWEAR ENTERPRISE.pdf,MARKETING AND OPERATIONAL STRATEGIES DURING THE COVID-19 PANDEMIC: A CASE STUDY OF A HONG KONG FOOTWEAR ENTERPRISE,YES,On Google Drive Folder
236,236 - OMNICHANNEL RETAILING AND POST-PANDEMIC RECOVERY BUILDING A RESEARCH AGENDA.pdf,THE ROLE OF ARTIFICIAL INTELLIGENCE IN IMPROVING THE OMNICHANNEL CUSTOMER EXPERIENCE,YES,On Google Drive Folder
237,237 - TRANSITIONING FROM MULTICHANNEL TO OMNICHANNEL CUSTOMER EXPERIENCE IN SERVICE-BASED COMPANIES CHALLENGES AND COPING STRATEGIES.pdf,OMNICHANNEL RETAILING AND POST-PANDEMIC RECOVERY: BUILDING A RESEARCH AGENDA,YES,On Google Drive Folder
238,238 - AN ANALYSIS OF FACTORS INFLUENCING OMNICHANNEL RETAILING ADOPTION USING ISM-DEMATEL APPROACH AN INDIAN PERSPECTIVE.pdf,TRANSITIONING FROM MULTICHANNEL TO OMNICHANNEL CUSTOMER EXPERIENCE IN SERVICE-BASED COMPANIES: CHALLENGES AND COPING STRATEGIES,YES,On Google Drive Folder
239,239 - OMNICHANNEL MANAGEMENT IN B2B. COMPLEXITY-BASED MODEL. EMPIRICAL EVIDENCE FROM A PANEL OF EXPERTS BASED ON FUZZY COGNITIVE MAPS.pdf,AN ANALYSIS OF FACTORS INFLUENCING OMNICHANNEL RETAILING ADOPTION USING ISM-DEMATEL APPROACH: AN INDIAN PERSPECTIVE,YES,On Google Drive Folder
240,240 - THE DRIVER OF PURCHASE INTENTIONS IN OMNICHANNEL RETAIL PERCEIVED VALUE EXAMINATION.pdf,OMNICHANNEL MANAGEMENT IN B2B. COMPLEXITY-BASED MODEL. EMPIRICAL EVIDENCE FROM A PANEL OF EXPERTS BASED ON FUZZY COGNITIVE MAPS,YES,On Google Drive Folder
241,,THE DRIVER OF PURCHASE INTENTIONS IN OMNICHANNEL RETAIL: PERCEIVED VALUE EXAMINATION,NO,On Google Drive Folder
242,242 - VALUE CREATION THROUGH OMNICHANNEL PRACTICES FOR MULTI-ACTOR CUSTOMERS AN EVOLUTIONARY VIEW.pdf,CONSUMER PATRONAGE IN OMNICHANNEL RETAILING AND THE MODERATING IMPACT OF CULTURE: A METASEM REVIEW,YES,On Google Drive Folder
243,,VALUE CREATION THROUGH OMNICHANNEL PRACTICES FOR MULTI-ACTOR CUSTOMERS: AN EVOLUTIONARY VIEW,NO,On Google Drive Folder
244,244 - CONSUMER WILLINGNESS TO PAY ACROSS RETAIL CHANNELS.pdf,CONSUMER WILLINGNESS TO PAY ACROSS RETAIL CHANNELS,YES,On Google Drive Folder
245,245 - THE INFLUENCE OF RETURN CHANNEL TYPE ON THE RELATIONSHIP BETWEEN RETURN SERVICE QUALITY AND CUSTOMER LOYALTY IN OMNICHANNEL RETAILING.pdf,THE INFLUENCE OF RETURN CHANNEL TYPE ON THE RELATIONSHIP BETWEEN RETURN SERVICE QUALITY AND CUSTOMER LOYALTY IN OMNICHANNEL RETAILING,YES,On Google Drive Folder
246,246 - A SIMULATION MODEL OF MULTI-ECHELON RETAIL INVENTORY WITH CROSS-CHANNEL PRODUCT RETURNS.pdf,ASSORTMENT OPTIMIZATION USING AN ATTRACTION MODEL IN AN OMNICHANNEL ENVIRONMENT,YES,On Google Drive Folder
247,247 - OMNICHANNEL RETAILING A BIBLIOMETRIC AND NETWORK VISUALIZATION ANALYSIS.pdf,A SIMULATION MODEL OF MULTI-ECHELON RETAIL INVENTORY WITH CROSS-CHANNEL PRODUCT RETURNS,YES,On Google Drive Folder
248,248 - THE IMPACTS OF OMNICHANNEL RETAILING PROPERTIES ON CUSTOMER EXPERIENCE AND BRAND LOYALTY A STUDY IN THE BANKING SECTOR.pdf,OMNICHANNEL RETAILING: A BIBLIOMETRIC AND NETWORK VISUALIZATION ANALYSIS,YES,On Google Drive Folder
249,249 - BARRIERS IN OMNICHANNEL RETAILING RETURNS A CONCEPTUAL FRAMEWORK.pdf,THE IMPACTS OF OMNICHANNEL RETAILING PROPERTIES ON CUSTOMER EXPERIENCE AND BRAND LOYALTY: A STUDY IN THE BANKING SECTOR,YES,On Google Drive Folder
250,250 - DEMAND-ENHANCING SERVICES FOR TANGIBLE PRODUCTS IN A DISTRIBUTION SYSTEM WITH ONLINE AND OFF-LINE CHANNELS.pdf,BARRIERS IN OMNICHANNEL RETAILING RETURNS: A CONCEPTUAL FRAMEWORK,YES,On Google Drive Folder
251,251 - A COMPARISON OF THE ENVIRONMENTAL SUSTAINABILITY OF BRICK-AND-MORTAR RETAILING AND ONLINE RETAILING.pdf,DEMAND-ENHANCING SERVICES FOR TANGIBLE PRODUCTS IN A DISTRIBUTION SYSTEM WITH ONLINE AND OFF-LINE CHANNELS,YES,On Google Drive Folder
252,252 - CONTRIBUTIONS OF INDUSTRY 4.0 TO SUPPLY CHAIN RESILIENCE.pdf,A COMPARISON OF THE ENVIRONMENTAL SUSTAINABILITY OF BRICK-AND-MORTAR RETAILING AND ONLINE RETAILING: CONTRASTING ACADEMIC RESEARCH AND CONSUMER PERCEPTIONS,YES,On Google Drive Folder
253,253 - LOGISTICS OUTSOURCING IN OMNICHANNEL RETAIL STATE OF PRACTICE AND SERVICE RECOMMENDATIONS.pdf,CONTRIBUTIONS OF INDUSTRY 4.0 TO SUPPLY CHAIN RESILIENCE,YES,On Google Drive Folder
254,254 - EXPLORING THE ROLE OF OMNICHANNEL RETAILING TECHNOLOGIES FUTURE RESEARCH DIRECTIONS.pdf,LOGISTICS OUTSOURCING IN OMNICHANNEL RETAIL STATE OF PRACTICE AND SERVICE RECOMMENDATIONS,YES,On Google Drive Folder
255,255 - LOYALTY CARD ADOPTION IN SME RETAILERS THE IMPACT UPON MARKETING MANAGEMENT.pdf,EXPLORING THE ROLE OF OMNICHANNEL RETAILING TECHNOLOGIES: FUTURE RESEARCH DIRECTIONS,YES,On Google Drive Folder
256,"256 - THE CHANGING FACE OF RETAILING, 1980-2020.pdf",LOYALTY CARD ADOPTION IN SME RETAILERS: THE IMPACT UPON MARKETING MANAGEMENT,YES,On Google Drive Folder
257,257 - EFFECTS OF INFORMATION TECHNOLOGY COMPETENCE ON BUSINESS PERFORMANCE EMPIRICAL EVIDENCE FROM OMNICHANNEL RETAILERS IN VIETNAM.pdf,"THE CHANGING FACE OF RETAILING, 1980-2020",YES,On Google Drive Folder
258,,EFFECTS OF INFORMATION TECHNOLOGY COMPETENCE ON BUSINESS PERFORMANCE: EMPIRICAL EVIDENCE FROM OMNICHANNEL RETAILERS IN VIETNAM,NO,On Google Drive Folder
259,259 - WHAT OMNICHANNEL REALLY MEANS.pdf,EXPLORING OMNICHANNEL STRATEGIES: A PATH TO IMPROVE CUSTOMER EXPERIENCES,YES,On Google Drive Folder
260,260 - POWER STRUCTURE AND PRICING IN AN OMNICHANNEL WITH BUY-ONLINE-AND-PICK-UP-IN-STORE.pdf,WHAT OMNICHANNEL REALLY MEANS?,YES,On Google Drive Folder
261,261 - QUICK RESPONSE AND OMNICHANNEL RETAIL OPERATIONS WITH THE SHIP-TO-STORE PROGRAM.pdf,POWER STRUCTURE AND PRICING IN AN OMNICHANNEL WITH BUY-ONLINE-AND-PICK-UP-IN-STORE,YES,On Google Drive Folder
262,262 - GOING WITH THE FLOW SMART SHOPPING MALLS AND OMNICHANNEL RETAILING.pdf,QUICK RESPONSE AND OMNICHANNEL RETAIL OPERATIONS WITH THE SHIP-TO-STORE PROGRAM,YES,On Google Drive Folder
263,,GOING WITH THE FLOW: SMART SHOPPING MALLS AND OMNICHANNEL RETAILING,NO,On Google Drive Folder
264,264 - Does service journey quality explain omnichannel shoppers_ online engagement behaviors.pdf,DOES SERVICE JOURNEY QUALITY EXPLAIN OMNICHANNEL SHOPPERS&APOS; ONLINE ENGAGEMENT BEHAVIORS? THE ROLE OF CUSTOMER-STORE IDENTIFICATION AND GRATITUDE TOWARD THE STORE,YES,On Google Drive Folder
265,,O2O SWITCHING DETERMINANTS AND SUCCESSFUL DRIVERS IN OMNICHANNEL RETAILING SERVICES,NO,On Google Drive Folder
266,266 - FASHION BUSINESS CASE STUDY ON THE GERMAN CLICK & COLLECT SITUATION.pdf,FASHION BUSINESS CASE STUDY ON THE GERMAN CLICK & COLLECT SITUATION,YES,On Google Drive Folder
267,,SORTING OUT THE SORTING IN OMNICHANNEL RETAILING,NO,On Google Drive Folder
268,268 - TOTAL HOCKEY OPTIMIZES OMNICHANNEL FACILITY LOCATIONS.pdf,TOTAL HOCKEY OPTIMIZES OMNICHANNEL FACILITY LOCATIONS,YES,On Google Drive Folder
269,269 - CONSUMER SHOWROOMING WITH SUPPLIER ENCROACHMENT AND OMNICHANNEL RETAILING.pdf,"OMNICHANNEL RETAILING WITH BRAND ENGAGEMENT, TRUST AND LOYALTY IN BANKING: THE MODERATING ROLE OF PERSONAL INNOVATIVENESS",YES,On Google Drive Folder
270,270 - AN INTELLIGENT OMNICHANNEL ASSORTMENT MODEL TO MANAGE WEBROOMING AN OPTIMIZATION APPROACH.pdf,CONSUMER SHOWROOMING WITH SUPPLIER ENCROACHMENT AND OMNICHANNEL RETAILING,YES,On Google Drive Folder
271,271 - WINNING CUSTOMER SATISFACTION TOWARD OMNICHANNEL LOGISTICS SERVICE QUALITY BASED ON AN INTEGRATED IMPORTANCE-PERFORMANCE ANALYSIS AND THREE-FACTOR THEORY.pdf,AN INTELLIGENT OMNICHANNEL ASSORTMENT MODEL TO MANAGE WEBROOMING: AN OPTIMIZATION APPROACH,YES,On Google Drive Folder
272,,WINNING CUSTOMER SATISFACTION TOWARD OMNICHANNEL LOGISTICS SERVICE QUALITY BASED ON AN INTEGRATED IMPORTANCE-PERFORMANCE ANALYSIS AND THREE-FACTOR THEORY: INSIGHT FROM THAILAND,NO,On Google Drive Folder
273,273 - OMNICHANNEL RETAILING STRATEGY A SYSTEMATIC REVIEW.pdf,OMNICHANNEL RETAILING STRATEGY: A SYSTEMATIC REVIEW,YES,On Google Drive Folder
274,274 - OMNICHANNEL SUPPLY CHAIN OPERATIONS FOR LUXURY PRODUCTS WITH CONSPICUOUS CONSUMERS.pdf,OMNICHANNEL SUPPLY CHAIN OPERATIONS FOR LUXURY PRODUCTS WITH CONSPICUOUS CONSUMERS,YES,On Google Drive Folder
275,275 - CHOOSING OPTIMAL OMNICHANNEL COUPON REDEEMING OPTIONS IN MULTIPLE CHANNEL SETTINGS.pdf,EXAMINING THE GLOBAL RETAIL APOCALYPSE DURING THE COVID-19 PANDEMIC USING STRATEGIC OMNICHANNEL MANAGEMENT: A CONSUMERS' DATA PRIVACY AND DATA SECURITY PERSPECTIVE,YES,On Google Drive Folder
276,,CHOOSING OPTIMAL OMNICHANNEL COUPON REDEEMING OPTIONS IN MULTIPLE CHANNEL SETTINGS,NO,On Google Drive Folder
277,277 - INFORMATION SERVICES AND OMNICHANNEL RETAILING STRATEGY CHOICES OF E-COMMERCE PLATFORMS WITH SUPPLIER COMPETITION.pdf,CONSUMER RETURN POLICIES IN OMNICHANNEL OPERATIONS,YES,On Google Drive Folder
278,,INFORMATION SERVICES AND OMNICHANNEL RETAILING STRATEGY CHOICES OF E-COMMERCE PLATFORMS WITH SUPPLIER COMPETITION,NO,On Google Drive Folder
279,279 - SHIP-FROM-STORE STRATEGY IN PLATFORM RETAILING.pdf,"""SHIP-FROM-STORE "" STRATEGY IN PLATFORM RETAILING",YES,On Google Drive Folder
280,280 - ASSESSING OMNICHANNEL STRATEGIES FOR GLOBAL RETAILING INDUSTRIES IN A DEVELOPING COUNTRY.pdf,ASSESSING OMNICHANNEL STRATEGIES FOR GLOBAL RETAILING INDUSTRIES IN A DEVELOPING COUNTRY,YES,On Google Drive Folder
281,281 - CUSTOMER EXPERIENCES IN OMNICHANNEL RETAIL ENVIRONMENTS A THEMATIC LITERATURE REVIEW.pdf,CUSTOMER EXPERIENCES IN OMNICHANNEL RETAIL ENVIRONMENTS: A THEMATIC LITERATURE REVIEW,YES,On Google Drive Folder
282,282 - INFORMATION EFFECT OF BUY-ONLINE-AND-PICK-UP-IN-STORE IN OMNICHANNEL RETAILING WITH STORE REPLENISHMENT.pdf,THE IMPACT OF OMNICHANNEL SHOPPING EXPERIENCE AND CHANNEL INTEGRATION ON CUSTOMER RETENTION: EMPIRICAL EVIDENCE FROM CHINA,YES,On Google Drive Folder
283,283 - CHANGE IN TECHNOLOGY-ENABLED OMNICHANNEL CUSTOMER EXPERIENCES IN-STORE.pdf,INFORMATION EFFECT OF BUY-ONLINE-AND-PICK-UP-IN-STORE IN OMNICHANNEL RETAILING WITH STORE REPLENISHMENT,YES,On Google Drive Folder
284,284 -INTEGRATIVE STRATEGIES FOR OMNICHANNEL ORDER FULFILLMENT WITH RISK AVERSION.pdf,CHANGE IN TECHNOLOGY-ENABLED OMNICHANNEL CUSTOMER EXPERIENCES IN-STORE,YES,On Google Drive Folder
285,285 - LAST MILE PRACTICES IN E-COMMERCE FRAMEWORK DEVELOPMENT AND EMPIRICAL ANALYSIS OF SWEDISH FIRMS.pdf,INTEGRATIVE STRATEGIES FOR OMNICHANNEL ORDER FULFILLMENT WITH RISK AVERSION,YES,On Google Drive Folder
286,,LAST MILE PRACTICES IN E-COMMERCE: FRAMEWORK DEVELOPMENT AND EMPIRICAL ANALYSIS OF SWEDISH FIRMS,NO,On Google Drive Folder
287,287 - Does integrated store service quality explain omnichannel shoppers_ online brand advocacy behaviors.pdf,"DOES INTEGRATED STORE SERVICE QUALITY EXPLAIN OMNICHANNEL SHOPPERS&APOS; ONLINE BRAND ADVOCACY BEHAVIORS?: ROLE OF MEMORABLE SHOPPING EXPERIENCES, STORE ATTACHMENT, AND RELATIONSHIP STRENGTH",YES,On Google Drive Folder
288,288 - OMNICHANNEL FACILITY LOCATION AND FULFILLMENT OPTIMIZATION.pdf,OMNICHANNEL FACILITY LOCATION AND FULFILLMENT OPTIMIZATION,YES,On Google Drive Folder
289,289 - WHAT DRIVES OMNICHANNEL SHOPPING BEHAVIORS FASHION LIFESTYLE OF SOCIAL-LOCAL-MOBILE CONSUMERS.pdf,EXPLORING CUSTOMER EXPERIENCE DURING CHANNEL SWITCHING IN OMNICHANNEL RETAILING CONTEXT: A QUALITATIVE ASSESSMENT,YES,On Google Drive Folder
290,290 - A MODERATED MEDIATING MECHANISM OF OMNICHANNEL CUSTOMER EXPERIENCES.pdf,WHAT DRIVES OMNICHANNEL SHOPPING BEHAVIORS? FASHION LIFESTYLE OF SOCIAL-LOCAL-MOBILE CONSUMERS,YES,On Google Drive Folder
291,291 - ADAPTING THE RETAIL BUSINESS MODEL TO OMNICHANNEL STRATEGY A SUPPLY CHAIN MANAGEMENT PERSPECTIVE.pdf,A MODERATED MEDIATING MECHANISM OF OMNICHANNEL CUSTOMER EXPERIENCES,YES,On Google Drive Folder
292,292 - Celebrating IJPDLM_s 50th anniversary a reflection on its contributions and future directions.pdf,ADAPTING THE RETAIL BUSINESS MODEL TO OMNICHANNEL STRATEGY: A SUPPLY CHAIN MANAGEMENT PERSPECTIVE,YES,On Google Drive Folder
293,293 - FACEBOOK AND SUSTAINABLE DEVELOPMENT A CASE STUDY OF A FRENCH SUPERMARKET CHAIN.pdf,CELEBRATING <I>IJPDLM</I>'S 50TH ANNIVERSARY: A REFLECTION ON ITS CONTRIBUTIONS AND FUTURE DIRECTIONS,YES,On Google Drive Folder
294,,FACEBOOK AND SUSTAINABLE DEVELOPMENT: A CASE STUDY OF A FRENCH SUPERMARKET CHAIN,NO,On Google Drive Folder
295,295 - DETERMINANTS OF WEBROOMING AND SHOWROOMING BEHAVIOR A SYSTEMATIC LITERATURE REVIEW.pdf,DETERMINANTS OF WEBROOMING AND SHOWROOMING BEHAVIOR: A SYSTEMATIC LITERATURE REVIEW,YES,On Google Drive Folder
296,296 - Factors influencing omnichannel buying An exploratory study with omnishoppers in Uberlandia.pdf,FACTORS IN-LUENCING<I> OMNICHANNEL</I> BUYING: AN EXPLORATOR Y STUDY WITH OMNISHOPPERS IN UBERLANDIA/MG,YES,On Google Drive Folder
297,297 - THE FUTURE OF OMNICHANNEL RETAIL A FOUR-STAGE DELPHI STUDY.pdf,THE EFFECT OF OPTIMIZING WAREHOUSE LOCATIONS ON OMNICHANNEL DESIGNS,YES,On Google Drive Folder
298,"298 - PRICE, ONLINE COUPON, AND STORE SERVICE EFFORT DECISIONS UNDER DIFFERENT OMNICHANNEL RETAILING MODELS.pdf",THE FUTURE OF OMNICHANNEL RETAIL: A FOUR-STAGE DELPHI STUDY,YES,On Google Drive Folder
299,299 - A CROSS CULTURAL STUDY OF GENDER DIFFERENCES IN OMNICHANNEL RETAILING CONTEXTS.pdf,"PRICE, ONLINE COUPON, AND STORE SERVICE EFFORT DECISIONS UNDER DIFFERENT OMNICHANNEL RETAILING MODELS",YES,On Google Drive Folder
300,300 - OMNICHANNEL RETAILING OPERATIONS WITH COUPON PROMOTIONS.pdf,A CROSS CULTURAL STUDY OF GENDER DIFFERENCES IN OMNICHANNEL RETAILING CONTEXTS,YES,On Google Drive Folder
301,301 - OMNICHANNEL RETAILING DOES IT EMPOWER CONSUMERS AND INFLUENCE PATRONAGE.pdf,OMNICHANNEL RETAILING OPERATIONS WITH COUPON PROMOTIONS,YES,On Google Drive Folder
302,302 - RANKING OF OPPORTUNITIES FOR IMPLEMENTING THE OMNICHANNEL CONCEPT.pdf,OMNICHANNEL RETAILING: DOES IT EMPOWER CONSUMERS AND INFLUENCE PATRONAGE?,YES,On Google Drive Folder
303,303 - HAVE AN OMNICHANNEL SEAMLESS INTERACTION EXPERIENCE DIMENSIONS AND EFFECT ON CONSUMER SATISFACTION.pdf,RANKING OF OPPORTUNITIES FOR IMPLEMENTING THE OMNICHANNEL CONCEPT,YES,On Google Drive Folder
304,,HAVE AN OMNICHANNEL SEAMLESS INTERACTION EXPERIENCE! DIMENSIONS AND EFFECT ON CONSUMER SATISFACTION,NO,On Google Drive Folder
305,305 - SERVICE INTEGRATION IN OMNICHANNEL RETAILING AND ITS IMPACT ON CUSTOMER EXPERIENCE.pdf,SERVICE INTEGRATION IN OMNICHANNEL RETAILING AND ITS IMPACT ON CUSTOMER EXPERIENCE,YES,On Google Drive Folder
306,306 - RESPONDING TO SUPPLY CHAIN DISRUPTIONS CAUSED BY THE COVID-19 PANDEMIC A BLACK SWAN EVENT FOR OMNICHANNEL RETAILERS.pdf,ZONING STRATEGIES FOR HUMAN-ROBOT COLLABORATIVE PICKING,YES,On Google Drive Folder
307,307 - OMNICHANNEL FASHION RETAILING EXAMINING THE CUSTOMER DECISION-MAKING JOURNEY.pdf,RESPONDING TO SUPPLY CHAIN DISRUPTIONS CAUSED BY THE COVID-19 PANDEMIC: A BLACK SWAN EVENT FOR OMNICHANNEL RETAILERS,YES,On Google Drive Folder
308,308 - A DECISION SUPPORT SYSTEM FOR RETAIL ASSORTMENT PLANNING.pdf,OMNICHANNEL FASHION RETAILING: EXAMINING THE CUSTOMER DECISION-MAKING JOURNEY,YES,On Google Drive Folder
309,309 - LINKS AND EFFECTS OF CHANNEL INTEGRATION IN THE PREPURCHASE AND PURCHASE STAGES OF OMNICHANNEL RETAILERS.pdf,A DECISION SUPPORT SYSTEM FOR RETAIL ASSORTMENT PLANNING,YES,On Google Drive Folder
310,310 - IMPULSE BUYING BEHAVIOUR IN OMNICHANNEL RETAIL AN APPROACH THROUGH THE STIMULUS-ORGANISM-RESPONSE THEORY.pdf,LINKS AND EFFECTS OF CHANNEL INTEGRATION IN THE PREPURCHASE AND PURCHASE STAGES OF OMNICHANNEL RETAILERS,YES,On Google Drive Folder
311,311 - IDENTIFYING AND ANALYSIS OF KEY FLEXIBLE SUSTAINABLE SUPPLY CHAIN MANAGEMENT STRATEGIES TOWARD OVERCOMING THE POST-COVID-19 IMPACTS.pdf,IMPULSE BUYING BEHAVIOUR IN OMNICHANNEL RETAIL: AN APPROACH THROUGH THE STIMULUS-ORGANISM-RESPONSE THEORY,YES,On Google Drive Folder
312,312 - SHOULD THE ASSEMBLY SYSTEM WITH DIRECT OMNICHANNEL INTRODUCE INTEGRATED MANAGEMENT SERVICE A GAME-THEORETICAL MODELLING STUDY.pdf,IDENTIFYING AND ANALYSIS OF KEY FLEXIBLE SUSTAINABLE SUPPLY CHAIN MANAGEMENT STRATEGIES TOWARD OVERCOMING THE POST-COVID-19 IMPACTS,YES,On Google Drive Folder
313,313 - DO OR DIE THE EFFECTS OF COVID-19 ON CHANNEL INTEGRATION AND DIGITAL TRANSFORMATION OF LARGE CLOTHING AND APPAREL RETAILERS IN SPAIN.pdf,SHOULD THE ASSEMBLY SYSTEM WITH DIRECT OMNICHANNEL INTRODUCE INTEGRATED MANAGEMENT SERVICE? A GAME-THEORETICAL MODELLING STUDY,YES,On Google Drive Folder
314,314 - THE OMNICHANNEL CONTINUUM INTEGRATING ONLINE AND OFFLINE CHANNELS ALONG THE CUSTOMER JOURNEY.pdf,DO OR DIE? THE EFFECTS OF COVID-19 ON CHANNEL INTEGRATION AND DIGITAL TRANSFORMATION OF LARGE CLOTHING AND APPAREL RETAILERS IN SPAIN,YES,On Google Drive Folder
315,,THE OMNICHANNEL CONTINUUM: INTEGRATING ONLINE AND OFFLINE CHANNELS ALONG THE CUSTOMER JOURNEY,NO,On Google Drive Folder
316,316 - THE EFFECT OF MULTICHANNEL AND OMNICHANNEL RETAILING ON PHYSICAL STORES.pdf,THE EFFECT OF MULTICHANNEL AND OMNICHANNEL RETAILING ON PHYSICAL STORES,YES,On Google Drive Folder
